;xxx;
xxx;;
;;
;;xxx
CITTA';;PREZZO MEDIO
;;
URBINO;;31,00 €
ACQUALAGNA;;75,00 €
APECCHIO;;77,00 €
AUDITORE;;93,00 €
BARCHI;;83,00 €
BELFORTE ALL'ISAURO;;49,00 €
BORGO PACE;;58,00 €
CAGLI;;64,00 €
CANTIANO;;106,00 €
CARPEGNA;;118,00 €
CARTOCETO;;36,00 €
FANO;;120,00 €
FERMIGNANO;;88,00 €
FOSSOMBRONE;;66,00 €
;;
FRATTE ROSA;;119,00 €
FRONTINO;;52,00 €
FRONTONE;;75,00 €
GABICCE MARE;;112,00 €
GRADARA;;87,00 €
ISOLA DEL PIANO;;46,00 €
LUNANO;;36,00 €
MACERATA FELTRIA;;32,00 €
MERCATELLO SUL METAURO;;85,00 €
MERCATINO CONCA;;120,00 €
MOMBAROCCIO;;39,00 €
;;
MONDAVIO;;116,00 €
MONDOLFO;;64,00 €
MONTECALVO IN FOGLIA;;46,00 €
MONTE CERIGNONE;;78,00 €
MONTECICCARDO;;48,00 €
MONTECOPIOLO;;51,00 €
MONTEFELCINO;;61,00 €
MONTE GRIMANO TERME;;107,00 €
MONTELABBATE;;49,00 €
MONTEMAGGIORE AL METAURO;;120,00 €
MONTE PORZIO;;119,00 €
ORCIANO DI PESARO;;85,00 €
PEGLIO;;109,00 €
PERGOLA;;35,00 €
PESARO;;86,00 €
PETRIANO;;78,00 €
;;
PIAGGE;;39,00 €
PIANDIMELETO;;58,00 €
PIETRARUBBIA;;119,00 €
PIOBBICO;;117,00 €
SALTARA;;56,00 €
SAN COSTANZO;;78,00 €
SAN GIORGIO DI PESARO;;71,00 €
SAN LORENZO IN CAMPO;;95,00 €
SANT'ANGELO IN VADO;;33,00 €
SANT'IPPOLITO;;56,00 €
SASSOCORVARO;;38,00 €
SASSOFELTRIO;;90,00 €
SERRA SANT'ABBONDIO;;66,00 €
SERRUNGARINA;;34,00 €
TAVOLETO;;103,00 €
TAVULLIA;;120,00 €
URBANIA;;72,00 €
VALLEFOGLIA;;39,00 €
AGUGLIANO;;81,00 €
ANCONA;;34,00 €
ARCEVIA;;49,00 €
BELVEDERE OSTRENSE;;52,00 €
CAMERANO;;43,00 €
CAMERATA PICENA;;55,00 €
CASTELBELLINO;;108,00 €
CASTELFIDARDO;;37,00 €
CASTELLEONE DI SUASA;;65,00 €
CASTELPLANIO;;78,00 €
CERRETO D'ESI;;115,00 €
CHIARAVALLE;;52,00 €
CORINALDO;;75,00 €
CUPRAMONTANA;;39,00 €
FABRIANO;;40,00 €
FALCONARA MARITTIMA;;34,00 €
FILOTTRANO;;60,00 €
GENGA;;93,00 €
JESI;;120,00 €
LORETO;;81,00 €
MAIOLATI SPONTINI;;33,00 €
MERGO;;73,00 €
MONSANO;;41,00 €
MONTECAROTTO;;58,00 €
MONTEMARCIANO;;37,00 €
MONTE ROBERTO;;68,00 €
MONTE SAN VITO;;74,00 €
MORRO D'ALBA;;116,00 €
NUMANA;;87,00 €
OFFAGNA;;65,00 €
OSIMO;;32,00 €
OSTRA;;101,00 €
OSTRA VETERE;;59,00 €
POGGIO SAN MARCELLO;;38,00 €
POLVERIGI;;119,00 €
ROSORA;;79,00 €
SAN MARCELLO;;61,00 €
SAN PAOLO DI JESI;;57,00 €
SANTA MARIA NUOVA;;75,00 €
SASSOFERRATO;;54,00 €
SENIGALLIA;;59,00 €
SERRA DE' CONTI;;54,00 €
SERRA SAN QUIRICO;;51,00 €
SIROLO;;50,00 €
STAFFOLO;;49,00 €
TRECASTELLI;;115,00 €
APIRO;;100,00 €
APPIGNANO;;50,00 €
BELFORTE DEL CHIENTI;;44,00 €
BOLOGNOLA;;42,00 €
CALDAROLA;;33,00 €
CAMERINO;;88,00 €
CAMPOROTONDO DI FIASTRONE;;116,00 €
CASTELRAIMONDO;;32,00 €
CASTELSANTANGELO SUL NERA;;31,00 €
CESSAPALOMBO;;76,00 €
CINGOLI;;76,00 €
CIVITANOVA MARCHE;;40,00 €
COLMURANO;;103,00 €
CORRIDONIA;;72,00 €
ESANATOGLIA;;91,00 €
FIASTRA;;32,00 €
FIORDIMONTE;;118,00 €
FIUMINATA;;97,00 €
GAGLIOLE;;30,00 €
GUALDO;;106,00 €
LORO PICENO;;108,00 €
MACERATA;;53,00 €
MATELICA;;57,00 €
MOGLIANO;;97,00 €
MONTECASSIANO;;69,00 €
MONTE CAVALLO;;108,00 €
MONTECOSARO;;35,00 €
MONTEFANO;;30,00 €
MONTELUPONE;;49,00 €
MONTE SAN GIUSTO;;59,00 €
MONTE SAN MARTINO;;58,00 €
MORROVALLE;;46,00 €
MUCCIA;;89,00 €
PENNA SAN GIOVANNI;;30,00 €
PETRIOLO;;103,00 €
PIEVEBOVIGLIANA;;117,00 €
PIEVE TORINA;;53,00 €
PIORACO;;66,00 €
POGGIO SAN VICINO;;114,00 €
POLLENZA;;39,00 €
PORTO RECANATI;;69,00 €
POTENZA PICENA;;106,00 €
RECANATI;;93,00 €
RIPE SAN GINESIO;;46,00 €
SAN GINESIO;;103,00 €
SAN SEVERINO MARCHE;;115,00 €
SANT'ANGELO IN PONTANO;;104,00 €
SARNANO;;78,00 €
SEFRO;;69,00 €
SERRAPETRONA;;62,00 €
SERRAVALLE DI CHIENTI;;64,00 €
TOLENTINO;;66,00 €
TREIA;;63,00 €
URBISAGLIA;;38,00 €
USSITA;;75,00 €
VISSO;;36,00 €
ACQUASANTA TERME;;98,00 €
ACQUAVIVA PICENA;;61,00 €
APPIGNANO DEL TRONTO;;86,00 €
ARQUATA DEL TRONTO;;31,00 €
ASCOLI PICENO;;100,00 €
CARASSAI;;31,00 €
CASTEL DI LAMA;;94,00 €
CASTIGNANO;;45,00 €
CASTORANO;;96,00 €
COLLI DEL TRONTO;;104,00 €
COMUNANZA;;65,00 €
COSSIGNANO;;90,00 €
CUPRA MARITTIMA;;102,00 €
FOLIGNANO;;80,00 €
FORCE;;56,00 €
GROTTAMMARE;;87,00 €
MALTIGNANO;;87,00 €
MASSIGNANO;;79,00 €
MONSAMPOLO DEL TRONTO;;76,00 €
MONTALTO DELLE MARCHE;;67,00 €
MONTEDINOVE;;119,00 €
MONTEFIORE DELL'ASO;;82,00 €
MONTEGALLO;;101,00 €
MONTEMONACO;;92,00 €
MONTEPRANDONE;;52,00 €
OFFIDA;;54,00 €
PALMIANO;;44,00 €
RIPATRANSONE;;34,00 €
ROCCAFLUVIONE;;111,00 €
ROTELLA;;74,00 €
SAN BENEDETTO DEL TRONTO;;85,00 €
SPINETOLI;;33,00 €
VENAROTTA;;110,00 €
ALTIDONA;;71,00 €
AMANDOLA;;84,00 €
BELMONTE PICENO;;75,00 €
CAMPOFILONE;;109,00 €
FALERONE;;95,00 €
FERMO;;42,00 €
FRANCAVILLA D'ETE;;106,00 €
GROTTAZZOLINA;;51,00 €
LAPEDONA;;108,00 €
MAGLIANO DI TENNA;;47,00 €
MASSA FERMANA;;111,00 €
MONSAMPIETRO MORICO;;113,00 €
MONTAPPONE;;81,00 €
MONTEFALCONE APPENNINO;;57,00 €
MONTEFORTINO;;33,00 €
MONTE GIBERTO;;62,00 €
MONTEGIORGIO;;82,00 €
MONTEGRANARO;;94,00 €
MONTELEONE DI FERMO;;109,00 €
MONTELPARO;;112,00 €
MONTE RINALDO;;113,00 €
MONTERUBBIANO;;78,00 €
MONTE SAN PIETRANGELI;;114,00 €
MONTE URANO;;43,00 €
MONTE VIDON COMBATTE;;80,00 €
MONTE VIDON CORRADO;;93,00 €
MONTOTTONE;;101,00 €
MORESCO;;68,00 €
ORTEZZANO;;53,00 €
PEDASO;;64,00 €
PETRITOLI;;90,00 €
PONZANO DI FERMO;;105,00 €
PORTO SAN GIORGIO;;70,00 €
PORTO SANT'ELPIDIO;;74,00 €
RAPAGNANO;;110,00 €
SANTA VITTORIA IN MATENANO;;112,00 €
SANT'ELPIDIO A MARE;;54,00 €
SERVIGLIANO;;83,00 €
SMERILLO;;113,00 €
TORRE SAN PATRIZIO;;50,00 €
